,OR,p,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std,exp_error_5,poly_error_5,exp_error_10,poly_error_10,exp_error_15,poly_error_15
104,0.1,0.74,0.698,0.02053270561811083,0.44551960000000007,0.013119778755439437,0.6381558739255015,0.0011030951515153672,6.91527745938085e-08,2.1691488427168262e-06,2.2911573861496915e-06,0.000417515967151177,0.0004260883033076904,0.006571859274751605
98,0.1,0.76,0.688,0.020719845559269985,0.4406024,0.013281083075882027,0.6402796511627906,0.0010738043835644422,2.9485960411685677e-08,1.5740133022570246e-06,8.828949331639899e-07,0.000394351520423188,8.606613394364293e-05,0.004847424161830455
114,0.1,0.78,0.696,0.020571047615520217,0.44701,0.01322571124892722,0.642133908045977,0.0010976143368702492,5.210560069946754e-08,2.093916906149063e-06,2.046557857777717e-07,0.00035105485125638846,3.2541265139196106e-05,0.004375640851447146
129,0.1,0.8,0.728,0.019900552756142227,0.47247360000000005,0.012928961834814116,0.6488978021978022,0.001014134642238912,3.2959540834884474e-08,1.6892664184283041e-06,1.517960013398769e-06,0.0004065417784558704,0.0002442624887373834,0.005757287947855414
134,0.1,0.82,0.726,0.01994612744369192,0.473844,0.01303262574188333,0.6525663911845729,0.001050496810793709,5.1947627983517953e-08,1.9136015262701684e-06,4.4123552153259754e-07,0.00038159212420095056,9.545441839232066e-05,0.004925567274726971
135,0.1,0.84,0.734,0.019760769215797242,0.48088520000000007,0.012963865795430003,0.6550446866485015,0.0011137145692683014,5.210560069946754e-08,2.093916906149063e-06,4.9193507907944325e-06,0.00044870462060979323,0.00032168805774336775,0.00621647259104013
138,0.1,0.86,0.752,0.019313000802568203,0.5000892,0.012857240323129997,0.6649148936170213,0.000986921882234632,5.210560069946754e-08,2.093916906149063e-06,1.5579709321895026e-06,0.00040652680999246925,0.00019496936758709414,0.005558798862076438
131,0.1,0.88,0.708,0.0203340109176719,0.4796524,0.0137880407001314,0.6773632768361583,0.0010496845313233323,1.2561307981126051e-08,1.542305551486258e-06,1.1837017329194665e-06,0.0003985356120192336,0.0002465758682318607,0.005807071784682761
137,0.2,0.0,0.692,0.020646355610615643,0.4995368,0.014903929919706413,0.7217335260115607,0.000759819669738232,5.222812216324887e-08,2.1374410919460597e-06,1.909736567600625e-06,0.0004113533505043306,0.00027730053721690455,0.005979029254465033
136,0.2,0.02,0.72,0.020079840636817812,0.5192952000000001,0.014485215429323791,0.7211266666666666,0.0007885139171446908,3.2959540834884474e-08,1.6892664184283041e-06,3.266270191873259e-06,0.00042934524572943157,0.00032912003958831973,0.006174918637624939
