,OR,p,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std,exp_error_5,poly_error_5,exp_error_10,poly_error_10,exp_error_15,poly_error_15
52,0.86,0.08,0.722,0.020035768016225385,0.6774236000000001,0.018791141300253156,0.9381401662049862,0.00026964262099058134,5.210560069946754e-08,2.093916906149063e-06,1.1746943143311589e-07,0.0003690764509575677,9.921739795519292e-05,0.0049723793944481615
57,0.87,0.06,0.672,0.02099599961897504,0.6314168000000001,0.01971777877336897,0.939435119047619,0.0002722800449175713,1.6034888404324846e-08,1.6575586676575376e-06,2.9049742465669436e-07,0.00038038338250722737,6.646538466494358e-05,0.004782745686604408
53,0.88,0.06,0.678,0.020895741192884256,0.6384072,0.019666996603862015,0.9414601769911504,0.0002608705928268462,5.210560069946754e-08,2.093916906149063e-06,8.554765456679651e-07,0.0003955187496568205,2.0322521466701667e-05,0.004354765236494239
56,0.89,0.06,0.694,0.020608930103234373,0.654248,0.01942021766798714,0.9425844380403456,0.00027208084764256227,5.0006714729225435e-08,1.7644983549960677e-06,3.1570855149215985e-06,0.00042799647714627143,0.00028936116123179714,0.006021749938252025
58,0.9,0.04,0.704,0.020414896521902825,0.665004,0.01927608735319489,0.9444801136363636,0.0002540659291357507,3.2679046655153554e-08,1.4654268527524126e-06,5.489342468538458e-07,0.00033630517083638677,1.9688666595968686e-05,0.004160705633762329
80,0.91,0.04,0.718,0.020123419192572618,0.6788248000000001,0.01901888870070804,0.9453342618384402,0.0002531303782547587,6.91527745938085e-08,2.1691488427168262e-06,6.16395142571602e-07,0.00038751945433350974,3.7261927540161466e-05,0.004564367641829697
81,0.92,0.04,0.706,0.020374690181693564,0.6687672,0.01929272902853093,0.9471444759206799,0.0002359586613894944,5.0006714729225435e-08,1.7644983549960677e-06,3.2998715105664784e-06,0.00043161561818905826,8.501792627152232e-05,0.005025638288498778
82,0.93,0.04,0.704,0.020414896521902825,0.6678099999999999,0.019356695774847527,0.948453409090909,0.00026956793279677625,3.4535966935657364e-08,1.4963761543696277e-06,1.4419191010141093e-07,0.00036615808214090356,9.484444926892546e-05,0.004934875173861892
83,0.94,0.02,0.69,0.02068332661831747,0.6555888,0.0196440850514632,0.9500023188405798,0.00023938726910106744,3.2959540834884474e-08,1.6892664184283041e-06,1.1947977624881704e-06,0.00039735735981451974,8.628012820250012e-05,0.004946737255341392
85,0.95,0.02,0.738,0.01966499427917537,0.70185,0.018695189069918496,0.950919241192412,0.00022559853952168856,5.210560069946754e-08,2.093916906149063e-06,1.2954289490907985e-06,0.00040449072586831383,0.00016924248355848937,0.0053780453555408525
86,0.96,0.02,0.742,0.019567115270269147,0.7065792,0.01862549663484762,0.9521536388140163,0.00022586254274126321,5.210560069946754e-08,2.093916906149063e-06,3.201198589627756e-07,0.00037900074386740213,3.15091967789974e-05,0.004494135680409766
87,0.97,0.02,0.71,0.020292855885754475,0.6772212,0.019347206249511063,0.9536985915492957,0.00021424362685198918,9.609993544020612e-08,2.4196550750593847e-06,2.460339746000891e-06,0.00042106507131632923,0.00017904479089927001,0.005514498930348058
84,0.98,0.02,0.696,0.020571047615520217,0.6645932,0.019634439230788333,0.9547425287356323,0.00022724000165849094,3.2679046655153554e-08,1.4654268527524126e-06,2.6344236124143823e-06,0.0004218477726711129,0.00031701414372218824,0.0061629951039081044
88,0.99,0.0,0.724,0.01999119806314769,0.692192,0.01910551445085947,0.9559558011049725,0.0002102907300732092,5.210560069946754e-08,2.093916906149063e-06,1.7984330866393162e-07,0.0003547864982932443,2.8480241048856248e-05,0.004281206495058762
