,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
34,w2,10,0.0,500,0.73,0.019854470529329156,0.6949707999999999,0.01889476533791092,0.9519112328767122,0.00021144445004030413
76,w2,10,0.5,500,0.662,0.02115447943108031,0.5430048000000002,0.017346099714746252,0.8200978851963745,0.0005348332192454081
68,w2,10,1.0,500,0.674,0.020963015050321363,0.5116028,0.015911138472916385,0.7589169139465876,0.0007446834138371556
17,w2,10,1.5,500,0.674,0.020963015050321363,0.49084200000000006,0.015268409074687513,0.728112759643917,0.0008603022051828374
24,w2,10,2.0,500,0.694,0.020608930103234373,0.48875080000000004,0.014520792379161684,0.7041291066282421,0.0009565531155019532
61,w2,10,2.5,500,0.674,0.020963015050321363,0.4621572,0.014380587181903248,0.6855632047477744,0.000966046804966207
83,w2,10,3.0,500,0.72,0.020079840636817812,0.47942280000000004,0.013373755711852972,0.6657416666666667,0.0007911221080306219
27,w2,10,3.5,500,0.692,0.020646355610615643,0.4477588,0.013364275566042479,0.646928901734104,0.0008575485486959139
54,w2,10,4.0,500,0.694,0.020608930103234373,0.4362664,0.012962330956355034,0.6284939481268011,0.0009251624350566283
6,w2,10,4.5,500,0.636,0.02151762068631195,0.3867928,0.013090019717950006,0.6080031446540881,0.0009280770724910426
48,w2,10,5.0,500,0.698,0.02053270561811083,0.4134372,0.012168839916455471,0.5921845272206303,0.0008928578093682016
98,w2,15,0.0,500,0.706,0.020374690181693564,0.6698748000000001,0.019324692585651136,0.9487053824362607,0.0003135136549600744
37,w2,15,0.5,500,0.678,0.020895741192884256,0.5555576000000001,0.017116278985938503,0.8192601769911504,0.0005225144980725041
10,w2,15,1.0,500,0.674,0.020963015050321363,0.5116028,0.015911138472916385,0.7589169139465876,0.0007446834138371556
50,w2,15,1.5,500,0.704,0.020414896521902825,0.5120564,0.014853258902950556,0.7272380681818182,0.0008598771067279382
56,w2,15,2.0,500,0.698,0.02053270561811083,0.4920228000000001,0.01447990144995193,0.7047856733524355,0.0009232170320772464
5,w2,15,2.5,500,0.68,0.020861447696648473,0.46561959999999997,0.014290718757000295,0.6846058823529413,0.0009483935982809718
43,w2,15,3.0,500,0.68,0.020861447696648473,0.45219960000000003,0.013877656718613554,0.6648588235294118,0.0009154851207473503
92,w2,15,3.5,500,0.724,0.01999119806314769,0.46857760000000004,0.012946331654815582,0.647103314917127,0.0008713172072072116
19,w2,15,4.0,500,0.692,0.020646355610615643,0.43496680000000004,0.012983269118196696,0.6284462427745665,0.0008598155637103657
67,w2,15,4.5,500,0.666,0.02109236828807993,0.4076612,0.012917838990679519,0.6119633633633633,0.0009648404845887945
84,w2,15,5.0,500,0.67,0.02102855201862458,0.39962040000000004,0.012549958137287948,0.5962901492537314,0.000991441556484593
80,w3,5,0.0,500,0.69,0.02068332661831747,0.526466,0.015779055203908755,0.7628533333333333,0.0006904383033694207
